# Melissa Graham, gal_sds.ipynb 
# UTC = Tue, 12 Apr 2022 18:50:30 +0000 
# 
# Columns 
#  0 candidate id 
#  1 object id 
#  2 object ra 
#  3 object dec 
#  4 object MJD 
#  5 object filter 
#  6 object magnitude 
#  7 object magnitude error 
#  8 object real/bogus score 
# 
DC22gfeir 16110831  115.17387754410  -26.22081529306 59564.23726032 r 20.284  0.031  0.930 
DC22gfeir 16111412  115.17386771225  -26.22080982550 59564.23884324 z 19.339  0.027  0.143 
DC22gfeir 16111024  115.17389402611  -26.22080461477 59564.23952736 g 21.532  0.074  0.936 
DC22gfeir 16111687  115.17385298409  -26.22082463801 59564.24097078 r 20.298  0.033  0.819 
DC22gfeir 16112947  115.17386652124  -26.22079455966 59564.24255884 z 19.330  0.029  0.532 
DC22gfeir 16112122  115.17389706917  -26.22078088932 59567.21344016 g 21.468  0.126  0.901 
DC22gfeir 16115511  115.17383245531  -26.22083435309 59567.22020147 z 19.321  0.035  0.897 
DC22gfeir 16114893  115.17385400094  -26.22082111789 59567.22087682 g 21.586  0.139  0.669 
DC22gfeir 16116495  115.17386558112  -26.22082173371 59567.22394107 z 19.307  0.037  0.947 
DC22gfeir 16115715  115.17387359449  -26.22086944809 59570.22666444 g 21.776  0.115  0.674 
DC22gfeir 16116917  115.17387172703  -26.22083684395 59570.22811131 r 20.281  0.038  0.853 
DC22gfeir 16117339  115.17382256714  -26.22080438344 59570.23037957 g 21.632  0.095  0.952 
DC22gfeir 16117663  115.17385415904  -26.22081555399 59570.23182292 r 20.259  0.035  0.845 
DC22gfeir 16118117  115.17375940111  -26.22083743916 59570.23408531 g 21.406  0.102  0.769 
DC22gfeir 16123915  115.17384849068  -26.22083805435 59570.24150086 g 21.438  0.090  0.943 
DC22gfeir 16124951  115.17382755983  -26.22081555230 59570.24520909 g 21.664  0.100  0.961 
DC22gfeir 16125462  115.17387082355  -26.22080317174 59570.24664491 r 20.340  0.037  0.788 
DC22gfeir 16126527  115.17384476433  -26.22080229064 59572.22529649 r 20.199  0.033  0.807 
DC22gfeir 16126868  115.17384509400  -26.22081400748 59572.22757464 g 21.669  0.074  0.991 
DC22gfeir 16127668  115.17381763058  -26.22084496913 59572.22900709 r 20.208  0.028  0.921 
DC22gfeir 16128364  115.17387622608  -26.22079890263 59572.23061630 z 19.323  0.031  0.691 
DC22gfeir 16128175  115.17383712411  -26.22081314828 59572.23130301 g 21.662  0.074  0.904 
DC22gfeir 16128735  115.17386429448  -26.22080880525 59572.23275106 r 20.273  0.030  0.907 
DC22gfeir 16129435  115.17386739299  -26.22080663171 59572.23504920 g 21.705  0.072  0.872 
DC22gfeir 16130137  115.17383355319  -26.22081085368 59572.23648811 r 20.258  0.030  0.815 
DC22gfeir 16130846  115.17383635356  -26.22080587234 59572.23884642 g 21.540  0.067  0.978 
DC22gfeir 16131410  115.17385709544  -26.22082129364 59572.24029181 r 20.286  0.031  0.873 
DC22gfeir 16131777  115.17386827440  -26.22082746576 59572.24189408 z 19.396  0.035  0.960 
DC22gfeir 16131673  115.17386694085  -26.22081087137 59572.24258081 g 21.483  0.060  0.960 
DC22gfeir 16132404  115.17386432835  -26.22080880319 59572.24403776 r 20.313  0.032  0.880 
DC22gfeir 16133302  115.17384841954  -26.22081353076 59572.24562342 z 19.379  0.034  0.975 
DC22gfeir 16133122  115.17385338089  -26.22081387480 59576.24952143 g 21.619  0.046  0.990 
DC22gfeir 16138838  115.17385359833  -26.22078299076 59576.26435230 g 21.724  0.053  0.944 
DC22gfeir 16140379  115.17385945677  -26.22080621742 59576.26805076 g 21.629  0.047  0.988 
DC22gfeir 16156151  115.17385284213  -26.22080617632 59585.23773291 z 19.368  0.029  0.144 
DC22gfeir 16163214  115.17385458584  -26.22081458366 59588.23463323 g 21.597  0.046  0.986 
DC22gfeir 16164510  115.17387629174  -26.22081259911 59588.23835325 g 21.613  0.057  0.984 
DC22gfeir 16167002  115.17386062095  -26.22080287053 59588.24577754 g 21.561  0.060  0.979 
DC22gfeir 16168030  115.17385624781  -26.22081250768 59588.24948549 g 21.609  0.048  0.997 
DC22gfeir 16179260  115.17386124767  -26.22078264849 59595.25433790 g 21.720  0.093  0.950 
DC22gfeir 16181419  115.17386857657  -26.22080725413 59595.25737353 z 19.390  0.030  0.222 
DC22gfeir 16181845  115.17384309200  -26.22081226983 59595.25949465 r 20.240  0.031  0.765 
DC22gfeir 16183149  115.17384912761  -26.22082038443 59595.26322736 r 20.288  0.033  0.856 
DC22gfeir 16186223  115.17386320844  -26.22080822503 59595.26856938 z 19.425  0.032  0.386 
DC22gfeir 16188004  115.17385301569  -26.22080797657 59597.24680217 r 20.340  0.044  0.606 
DC22gfeir 16189136  115.17388107795  -26.22080310973 59597.24771350 i 19.738  0.038  0.832 
DC22gfeir 16189486  115.17386160587  -26.22080139459 59597.24838494 z 19.290  0.032  0.325 
DC22gfeir 16188426  115.17385931080  -26.22081153723 59597.24905405 g 21.480  0.104  0.905 
DC22gfeir 16190111  115.17387695929  -26.22080790702 59597.25048844 r 20.292  0.047  0.728 
DC22gfeir 16190351  115.17388348445  -26.22080829215 59597.25139630 i 19.752  0.039  0.663 
DC22gfeir 16191007  115.17387144841  -26.22081439525 59597.25206601 z 19.345  0.035  0.756 
DC22gfeir 16191492  115.17386854107  -26.22079359721 59600.17104967 g 21.744  0.091  0.913 
DC22gfeir 16192059  115.17387073825  -26.22081115375 59600.17249529 r 20.304  0.035  0.854 
DC22gfeir 16192316  115.17387188256  -26.22080382007 59600.17340207 i 19.757  0.038  0.726 
DC22gfeir 16192677  115.17385728379  -26.22080380106 59600.17408061 z 19.363  0.035  0.775 
DC22gfeir 16193197  115.17384482734  -26.22079836858 59600.17475730 g 21.723  0.093  0.964 
DC22gfeir 16193592  115.17385625884  -26.22080014642 59600.17619366 r 20.341  0.038  0.826 
DC22gfeir 16193852  115.17386422753  -26.22081192023 59600.17709720 i 19.698  0.039  0.552 
DC22gfeir 16194592  115.17384749631  -26.22080578354 59600.17776367 z 19.335  0.035  0.949 
