# Accumulated photometry of sn2015V 
# Photometry is in the natural system NOT Landolt 
# MJD          Mag       Err       LimMag    Passband  Telescope Filename  
57243.21       17.66     0.07      nan       clear     kait4     unk       
57252.22       18.33     0.18      nan       V         kait4     unk       
57252.22       17.58     0.07      nan       R         kait4     unk       
57252.22       17.12     0.08      nan       I         kait4     unk       
57252.22       17.59     0.05      nan       clear     kait4     unk       
57258.20       17.73     0.17      nan       R         kait4     unk       
57258.20       17.18     0.11      nan       I         kait4     unk       
57258.20       17.67     0.09      nan       clear     kait4     unk       
57264.18       18.43     0.28      nan       V         kait4     unk       
57264.18       17.71     0.14      nan       R         kait4     unk       
57264.18       17.27     0.13      nan       I         kait4     unk       
57264.18       17.63     0.04      nan       clear     kait4     unk       
57267.17       18.41     0.15      nan       V         kait4     unk       
57267.17       17.74     0.07      nan       R         kait4     unk       
57267.17       17.24     0.09      nan       I         kait4     unk       
57267.17       17.81     0.06      nan       clear     kait4     unk       
57270.18       17.74     0.16      nan       R         kait4     unk       
57270.18       17.22     0.17      nan       I         kait4     unk       
57270.18       17.81     0.05      nan       clear     kait4     unk       
57273.18       18.56     0.22      nan       V         kait4     unk       
57273.18       17.72     0.08      nan       R         kait4     unk       
57273.18       17.34     0.11      nan       I         kait4     unk       
57273.18       17.79     0.06      nan       clear     kait4     unk       
57276.16       18.61     0.19      nan       V         kait4     unk       
57276.16       17.82     0.08      nan       R         kait4     unk       
57276.16       17.37     0.11      nan       I         kait4     unk       
57276.16       17.86     0.05      nan       clear     kait4     unk       
57279.16       17.70     0.14      nan       R         kait4     unk       
57279.16       17.31     0.12      nan       I         kait4     unk       
57279.16       17.77     0.16      nan       clear     kait4     unk       
57288.15       18.81     0.23      nan       V         kait4     unk       
57288.15       17.80     0.09      nan       R         kait4     unk       
57288.15       17.43     0.11      nan       I         kait4     unk       
57288.15       17.96     0.07      nan       clear     kait4     unk       
57291.14       18.53     0.32      nan       V         kait4     unk       
57291.14       17.92     0.14      nan       R         kait4     unk       
57291.14       17.60     0.22      nan       I         kait4     unk       
57291.14       17.97     0.09      nan       clear     kait4     unk       
57298.14       18.84     0.25      nan       V         kait4     unk       
57298.14       18.12     0.11      nan       R         kait4     unk       
