# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_210514_234524_ori    149.220000   1.750000 59348.989865 g      1.19 COSMOS-2      10.0 COSMOS-DDF-SEQ-C          NONE                 None     63.53   0.090          0 
c4d_210509_085340_ori    270.889996 -29.530000 59343.370610 g      1.04 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL     111.82   0.053          0 
c4d_210412_073925_ori    270.889996 -29.530000 59316.319048 z      1.09 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     113.91   0.001          0 
c4d_210602_094822_ori      9.499996 -43.998000 59367.408588 r      1.24 ELAIS-E2      86.0 ELAIS-DDF-SEQ-A           ELAIS                EGAL     38.21   0.491       2355 
c4d_210429_005220_ori    149.220000   1.750000 59333.036345 r      1.19 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     95.63   0.946          0 
c4d_210406_091033_ori    270.889996 -29.530000 59310.382331 r      1.01 DECaPS-East   50.0 DECaPSEast-DDF-B          DECaPS               GAL      40.54   0.296       2569 
c4d_210322_020008_ori    150.000000   3.100000 59295.083430 r      1.22 COSMOS-1      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     55.85   0.547       2158 
c4d_210415_090212_ori    270.889996 -29.530000 59319.376533 r      1.00 DECaPS-East   50.0 DECaPSEast-DDF-B          DECaPS               GAL     149.79   0.094          0 
c4d_210518_074543_ori    270.889996 -29.530000 59352.323419 g      1.01 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL     141.73   0.350          0 
c4d_210421_010147_ori    150.000000   3.100000 59325.042910 g      1.20 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     25.59   0.578       2206 
c4d_210601_235101_ori    150.780000   1.750000 59366.993762 g      1.32 COSMOS-3      80.0 COSMOS-AGN-1              COSMOS-AGN           EGAL    164.49   0.534          0 
c4d_210527_065823_ori    270.889996 -29.530000 59361.290551 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL      14.61   0.990       9891 
c4d_210403_030241_ori    150.000000   3.100000 59307.126868 g      1.24 COSMOS-1      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    116.08   0.644          0 
c4d_210415_084129_ori    270.889996 -29.530000 59319.362145 i      1.01 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     149.56   0.093          0 
c4d_210406_020232_ori    149.220000   1.750000 59310.085098 r      1.18 COSMOS-2      86.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    153.02   0.325          0 
c4d_210515_013153_ori    150.000000   3.100000 59349.063814 g      1.46 COSMOS-1      60.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL     62.76   0.094          0 
c4d_210503_083208_ori    270.889996 -29.530000 59337.355659 g      1.01 DECaPS-East   10.0 DECaPSEast-DDF-B          NONE                 None     36.62   0.552          0 
c4d_210503_081530_ori    270.889996 -29.530000 59337.344107 g      1.00 DECaPS-East   10.0 DECaPSEast-DDF-A          NONE                 None     36.52   0.553          0 
c4d_210406_004639_ori    150.000000   3.100000 59310.032407 r      1.24 COSMOS-1      86.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    152.73   0.330          0 
c4d_210527_061611_ori    270.889996 -29.530000 59361.261241 g      1.00 DECaPS-East   96.0 DECaPSEast-DDF-B          DECaPS               GAL      14.89   0.990       9423 
c4d_210530_100531_ori      7.874596 -43.009600 59364.420502 g      1.20 ELAIS-E1      10.0 ELAIS-DDF-SEQ-A           NONE                 None     53.87   0.792          0 
c4d_210328_031852_ori    150.780000   1.750000 59301.138103 r      1.21 COSMOS-3      30.0 COSMOS-DDF-SEQ-B          COSMOS-MOON          EGAL     30.16   0.992       3281 
c4d_210415_100818_ori    270.889996 -29.530000 59319.422439 z      1.02 DECaPS-East   30.0 DECaPSEast-DDF-A          DECaPS               GAL     150.50   0.096          0 
c4d_210412_011248_ori    150.000000   3.100000 59316.050558 i      1.20 COSMOS-1     130.0 COSMOS-DDF-SEQ-A          COSMOS               EGAL    128.70   0.001          0 
c4d_210412_020506_ori    150.000000   3.100000 59316.086882 g      1.22 COSMOS-1      60.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    128.17   0.001          0 
c4d_210522_090458_ori      9.499996 -43.998000 59356.378455 g      1.61 ELAIS-E2      60.0 ELAIS-DDF-SEQ-B           ELAIS                EGAL    139.08   0.772          0 
c4d_210328_014554_ori    149.220000   1.750000 59301.073550 i      1.19 COSMOS-2      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     31.19   0.991       3251 
